ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,month,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,day_of_week_original_Monday,day_of_week_original_Saturday,day_of_week_original_Sunday,day_of_week_original_Thursday,day_of_week_original_Tuesday,day_of_week_original_Wednesday,year,days_since_launch
2013-10-12,32457,16.876973636914478,65.7,72.0,60.1,15.5,0.0,10,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,103
2013-10-13,28832,15.950881543655193,60.9,72.0,57.0,15.0,0.0,10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,104
2013-10-14,33018,13.908640741413771,58.0,64.9,53.1,6.6,0.0,10,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,105
2013-10-15,37534,13.481594465462427,60.4,70.0,53.1,4.7,0.0,10,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,106
2013-10-16,36911,13.33735246042282,60.1,70.0,55.9,5.6,0.0,10,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,107
2013-10-17,36888,13.387314302754284,64.7,73.0,57.0,6.7,0.0,10,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,108
2013-10-18,38122,13.878873091653112,64.2,73.0,57.9,11.5,0.01,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2013,109
2013-10-19,29548,15.613899417896306,59.4,69.1,54.0,5.9,0.0,10,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2013,110
2013-10-20,29256,15.908528165162702,58.4,64.0,51.1,10.4,0.0,10,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2013,111
2013-10-21,35012,13.790265718420349,59.3,66.9,51.1,7.3,0.0,10,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2013,112
2013-10-22,36338,12.581991762525917,59.6,68.0,52.0,7.6,0.0,10,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,2013,113
2013-10-23,32365,12.02263041351254,52.8,68.0,50.0,7.8,0.0,10,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,2013,114
2013-10-24,32251,12.115275495333476,48.4,55.0,43.0,11.8,0.0,10,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2013,115
